X1,X2
CD151,LAMB3
CDH3,JUP
ACTN1,PARVB
CD151,ITGA6
CDH18,JUP
COL17A1,LAMA3
PARVA,PXN
CD151,LAMC2
CDH1,CTNNA1
CDH5,JUP
ITGA6,PLEC
CDH7,JUP
COL17A1,ITGA6
CDH8,JUP
ITGA6,LAMA3
CDH9,CTNNA1
ITGB4,LAMC2
CDH13,JUP
CDH24,CTNNA1
COL17A1,ITGB4
PARD3,PRKCI
CDH5,CTNNA1
CDH6,CTNNA1
CDH2,CTNNA1
FBLIM1,FLNC
FBLIM1,FLNA
COL17A1,LAMC2
CD151,LAMA3
CDH24,JUP
CDH11,JUP
CDH1,JUP
CDH17,CTNNA1
PARVA,TESK1
CD151,ITGB4
CD151,PLEC
COL17A1,LAMB3
CRB3,MPP5
F11R,PRKCI
CDH12,CTNNA1
ITGB4,LAMA3
CDH17,JUP
CDH11,CTNNA1
CDH13,CTNNA1
CDH10,CTNNA1
PARD6A,PRKCI
LAMA3,LAMB3
ITGA6,ITGB4
F11R,PARD3
LAMC2,PLEC
CDH4,JUP
ILK,ITGB1
ITGA6,LAMC2
ITGA6,LAMB3
CDH15,JUP
ITGB4,PLEC
ITGB4,LAMB3
F11R,PARD6B
F11R,PARD6A
CDH18,CTNNA1
ILK,LIMS1
ILK,LIMS2
CD151,COL17A1
F11R,PARD6G
PARD6G,PRKCI
CDH6,JUP
LAMA3,LAMC2
COL17A1,PLEC
CADM1,CADM3
LAMA3,PLEC
CDH9,JUP
CDH7,CTNNA1
CDH8,CTNNA1
CDH3,CTNNA1
CDH4,CTNNA1
ARHGEF6,PARVB
CDH10,JUP
FBLIM1,FERMT2
LIMS1,RSU1
CTNNA1,JUP
CDH15,CTNNA1
PARD3,PARD6B
LAMB3,LAMC2
LAMB3,PLEC
FBLIM1,VASP
PARD3,PARD6G
CDH12,JUP
PARD6B,PRKCI
PARD3,PARD6A
CDH2,JUP
CASK,NPHS1
KIRREL2,NPHS1
NCK1,NPHS1
FYN,NCK2
FYN,PIK3CB
FYN,NCK1
FYN,PIK3CA
CD2AP,FYN
CD2AP,PIK3CB
CD2AP,PIK3CA
NPHS1,SPTAN1
NPHS1,PIK3CA
NPHS1,WASL
NPHS1,PIK3CB
ACTN2,NPHS1
PIK3CA,PIK3R1
PIK3CA,PIK3R2
IQGAP1,NPHS1
NCK2,WASL
FYN,NPHS1
ACTN1,NPHS1
FYN,PIK3R1
NCK1,WASL
FYN,PIK3R2
NCK2,NPHS1
ACTN4,NPHS1
CD2AP,PIK3R2
CD2AP,NPHS1
CD2AP,PIK3R1
NPHS1,SPTBN1
NPHS1,PIK3R1
NPHS1,PIK3R2
KIRREL3,NPHS1
FYN,WASL
MAGI2,NPHS1
ACTN3,NPHS1
PIK3CB,PIK3R2
PIK3CB,PIK3R1
CD47,SIRPA
GRB2,SIRPA
CD47,SRC
CD47,PTPN11
SIRPB1,TYROBP
CD47,SIRPG
SIRPA,SKAP2
SIRPA,SRC
CD47,PTPN6
CD47,SKAP2
PTPN11,SIRPA
CD47,PTK2B
PTPN6,SIRPA
CD47,GRB2
PTK2B,SIRPA
CENPN,KNTC1
DYNC1I1,MIS12
BRIP1,TP53
KIF2C,ZWINT
SUMO1,UBA52
PSMD4,RPS27A
PSMB6,PSMF1
PSMF1,UBA52
CENPO,NDC80
CDCA8,MAD2L1
ANAPC16,BUB1B
DYNC1I2,PAFAH1B1
KAT5,UIMC1
PSMB6,PSME3
PSMB6,PSME4
PSMB6,PSME1
CENPE,NDC80
PSMD14,TP53
PSMB6,PSMD1
PSMB6,PSMD2
PSMB6,PSMD3
PSMB6,PSMD4
BUB1B,CDCA8
PSMB6,PSMD9
PSMB6,PSMD5
PSMB6,PSMD6
PSMB6,PSMD7
PSMB6,PSMD8
ANAPC10,UBE2C
BIRC5,SKA2
BIRC5,SKA1
CDC20,CDC27
CDC20,CDC26
AHCTF1,NUP85
CDC20,CDC23
AURKB,NUDC
KIF2B,XPO1
SEC13,ZWINT
CENPL,NUF2
PSMB8,PSMD10
PSMB8,PSMD11
PSMB8,PSMD12
ATR,CDC7
PSMB8,PSMD13
ATR,CDC6
PSMB8,PSMD14
PSMD7,TP53
DYNC1I1,SPC24
DYNC1I1,SPC25
PSMD13,RPS27A
NDE1,PPP1CC
AHCTF1,NUP98
DYNC1I2,MAD2L1
CENPL,NDE1
ITGB3BP,SEH1L
RFC4,TOP3A
PSMB2,TP53
CLASP2,ZWINT
AURKB,NDE1
H2AFX,UBE2I
AURKB,NUF2
ANAPC4,UBE2E1
BIRC5,DYNLL2
BIRC5,DYNLL1
H2AFX,UBE2N
CDCA8,NDC80
NDC80,PAFAH1B1
ANAPC4,UBE2D1
CENPM,RPS27
DYNC1I1,SEC13
NUP133,PAFAH1B1
GTSE1,PSMA1
GTSE1,PSMA4
GTSE1,PSMA5
GTSE1,PSMA2
GTSE1,PSMA3
DYNC1I1,NUP43
GTSE1,PSMA8
CDCA8,PAFAH1B1
GTSE1,PSMA7
AHCTF1,NUP43
RNF168,RNF8
PAFAH1B1,PMF1
DYNLL2,NUP37
DSN1,DYNC1LI2
DSN1,DYNC1LI1
BAZ1B,H2AFX
CENPA,PAFAH1B1
DYNC1I1,NUP37
DYNLL2,NUP43
CENPK,PPP1CC
NUP98,PMF1
NUP37,TAOK1
PSMA5,TP53
DYNC1H1,ERCC6L
KIF18A,SKA2
ANAPC10,UBE2E1
NUP160,RPS27
CENPF,PMF1
BUB1B,NDC80
RFC4,WRN
AURKB,KIF18A
CENPH,NUP98
H2AFX,RAD50
KIF18A,SKA1
CENPI,ERCC6L
ANAPC10,UBE2D1
NSL1,PAFAH1B1
HIST1H4A,UBE2V2
BUB1B,CDC26
GTSE1,PSME4
BUB1B,CDC27
GTSE1,PSME3
MAPRE1,SEH1L
BUB1B,CDC23
BUB1B,CDC20
ATR,CDK2
DYNLL2,SKA1
DYNLL2,SKA2
GTSE1,PSMF1
GTSE1,PSMD3
GTSE1,PSMD4
CDC7,MCM8
GTSE1,PSMD1
CDC7,MCM7
GTSE1,PSMD2
CDC7,MCM6
GTSE1,PSMD7
CDC7,MCM5
GTSE1,PSMD8
CDC7,MCM4
GTSE1,PSMD5
CDC7,MCM3
KDM4A,RPS27A
GTSE1,PSMD6
CENPQ,RCC2
GTSE1,PSMD9
NDC80,ZWINT
PPP1CC,SKA2
PPP1CC,SKA1
DYNLL2,NUP85
CDC7,MCM2
HERC2,NBN
GTSE1,PSME1
BUB3,UBE2C
GTSE1,PSMC2
GTSE1,PSMC3
GTSE1,PSMC1
GTSE1,PSMC6
GTSE1,PSMC4
GTSE1,PSMC5
NBN,UBE2N
NBN,UBE2I
DYNLL2,NUP98
BARD1,HERC2
GTSE1,PSMB1
CLSPN,MCM10
GTSE1,PSMB2
GTSE1,PSMB5
GTSE1,PSMB6
GTSE1,PSMB3
GTSE1,PSMB4
GTSE1,PSMB9
GTSE1,PSMB7
AHCTF1,NUP37
GTSE1,PSMB8
CENPT,PMF1
CENPH,NUP43
DSN1,MAD1L1
RAD17,RBBP8
CDC25C,CHEK1
CDC25C,CHEK2
B9D2,NUP85
CDK2,CDKN1B
CENPH,NUP37
CDK2,CDKN1A
CENPF,MAPRE1
CENPL,DYNLL2
CDC20,SEH1L
CENPL,DYNLL1
KNTC1,PMF1
CKAP5,ZWINT
BIRC5,CKAP5
CKAP5,DSN1
DYNC1LI1,SEC13
CENPO,XPO1
PLK1,PPP1CC
NUP98,PLK1
CKAP5,INCENP
NUP98,RANBP2
CENPO,NSL1
CDCA8,NSL1
DYNC1LI1,SPC25
DYNC1LI1,SPC24
B9D2,NUP37
DYNC1I1,NUP85
KPNA2,NBN
PSMA3,UBC
PSMA3,UBB
CENPH,NUP85
CENPA,XPO1
PSMC5,PSME4
PSMC5,PSME3
