X1,X2
M6PR,MGAM
M6PR,SNX2
M6PR,VAMP2
M6PR,SI
M6PR,RAB9A
M6PR,UBQLN2
M6PR,VPS52
M6PR,AP1M1
M6PR,BLOC1S1
M6PR,VPS51
M6PR,TXNDC5
M6PR,CREG1
M6PR,RAB9B
M6PR,NAPA
M6PR,PLIN3
FKBP4,PPIAL4D
FKBP4,HBE1
FKBP4,PPIAL4F
FKBP4,DYNLL2
FKBP4,TIMM44
FKBP4,CALML5
FKBP4,FOXA1
FKBP4,TRPC5
FKBP4,PPIC
FKBP4,SERPINB2
FKBP4,CALML3
FKBP4,BCL2A1
FKBP4,NPB
FKBP4,PPIAL4C
FKBP4,OBI1
FKBP4,IKBKE
FKBP4,DNAJB1
FKBP4,PPID
FKBP4,PPIAL4H
FKBP4,CDC37
FKBP4,PPIAL4G
FKBP4,CAPZA3
FKBP4,AHSA1
FKBP4,MAP3K1
FKBP4,RPS19
FKBP4,PPIAL4A
FKBP4,DYNC1LI1
FKBP4,PPIAL4E
FKBP4,HSD11B2
FKBP4,PPIB
FKBP4,DCTN6
FKBP4,HSPA1B
FKBP4,TOMM70
CYP26B1,CYP7B1
CYP26B1,UGT1A3
CYP26B1,UGT1A9
CYP26B1,MAFB
CYP26B1,FASN
CYP26B1,UGT1A8
CYP26B1,SLC7A14
CYP26B1,CYP8B1
CYP26B1,RASD2
CYP26B1,CRABP1
CYP26B1,CYP2A13
CYP26B1,CYP3A7-CYP3A51P
CYP26B1,UGT1A5
CYP26B1,UGT1A1
CYP26B1,UGT2B17
CYP26B1,RARS1
CYP26B1,DHRS3
CYP26B1,RDH14
CYP26B1,CYP2F1
CYP26B1,CYP1A2
CYP26B1,SOX9
CYP26B1,UGT1A4
CYP26B1,CH25H
CYP26B1,UGT1A10
CYP26B1,ABHD8
CYP26B1,CYP2A6
CYP26B1,SDR9C7
CYP26B1,RBP2
CYP26B1,UGT2A2
CYP26B1,STRA8
CYP26B1,CYP17A1
CYP26B1,FOXL2
CYP26B1,NANOS2
CYP26B1,UGT1A7
CYP26B1,CRABP2
PDK4,PDHA2
PDK4,FABP4
PDK4,FIS1
PDK4,ACACA
PDK4,SOD2
PDK4,MLYCD
PDK4,ACOT1
PDK4,LEP
PDK4,UCP1
PDK4,PPARGC1A
PDK4,IRS2
PDK4,SOD2
PDK4,SCD
PDK4,ECHS1
PDK4,FASN
PDK4,CNOT11
PDK4,PLIN5
PDK4,TRIM63
PDK4,IRS1
PDK4,CYCS
PDK4,CPT2
PDK4,ACADL
PDK4,MSTN
PDK4,INS
PDK4,PDP2
PDK4,TXNIP
PDK4,FABP3
PDK4,GYS2
PDK4,NPVF
PDK4,ENHO
PDK4,FBXO32
RALA,CCND1
RALA,NRAS
RALA,EXOC8
RALA,RABIF
RALA,SYNJ2BP
RALA,ARF6
RALA,VAMP2
RALA,ARHGDIB
RALA,RAC3
RALA,CALML5
RALA,CALML3
RALA,RNASE13
RALA,PFN1
RALA,PIK3CA
RALA,KIF3B
RALA,RCE1
CACNG3,HTR3C
CACNG3,TMEM249
CACNG3,CACNG7
CACNG3,CATSPER4
CACNG3,KCNJ9
CACNG3,CACNG1
CACNG3,CATSPER3
CACNG3,VWC2
CACNG3,AKAP5
CACNG3,PRKACG
CACNG3,CATSPER1
CACNG3,OLFM2
CACNG3,GSG1L2
CACNG3,EFCAB9
CACNG3,SHISA8
CACNG3,CACNG5
CACNG3,HTR5A
CACNG3,HTR3B
CACNG3,SHISA9
CACNG3,CATSPERZ
CACNG3,TMEM262
CACNG3,GRIN3A
CACNG3,CACNG8
CACNG3,CACNG4
CACNG3,GRIN3B
CACNG3,CATSPERB
CACNG3,HTR3E
CACNG3,STAC3
CACNG3,CNIH3
CACNG3,GRIN2D
CACNG3,CACNG6
CACNG3,GABRD
CACNG3,CACNB3
CACNG3,GRIN2B
CACNG3,CACNG2
HOXA11,HOXA2
HOXA11,HOXA7
HOXA11,HOXA10
HOXA11,HOXA6
HOXA11,HOXA13
HOXA11,HOXD10
HOXA11,POU3F1
HOXA11,HOXC4
HOXA11,HOXD13
HOXA11,PRSS58
HOXA11,HOXC8
HOXA11,SIX2
HOXA11,HOXB8
HOXA11,NFE2L3
HOXA11,HOXA5
HOXA11,MYOD1
HOXA11,HOXC6
HOXA11,WNT7A
HOXA11,HOXD8
HOXA11,PTGER4
CX3CL1,CD302
CX3CL1,C5AR1
CX3CL1,CCL13
CX3CL1,EPO
CX3CL1,SRPX2
CX3CL1,IFNB1
CX3CL1,CCL11
CX3CL1,TNFRSF1A
CX3CL1,MMP9
CX3CL1,IL10
CX3CL1,CCR7
CX3CL1,CSF2
CX3CL1,IFNG
CX3CL1,CCL18
CX3CL1,CCL21
CX3CL1,CXCL1
CX3CL1,CCL5
CX3CL1,CCL15
CX3CL1,CXCL13
CX3CL1,GNA11
CX3CL1,CCL26
CX3CL1,PPBP
CX3CL1,LEP
CX3CL1,IL3
CX3CL1,CXCL3
CX3CL1,KLRK1
CX3CL1,CRYGC
CX3CL1,CD226
CX3CL1,CCL14
CX3CL1,FASLG
CX3CL1,GNG11
CX3CL1,CCL4L2
CX3CL1,CCL23
CX3CL1,IFNA1
CX3CL1,MRC1
CX3CL1,CCL27
CX3CL1,GDF15
CX3CL1,CXCR4
CX3CL1,CD40LG
CX3CL1,CXCL5
CX3CL1,TNF
CX3CL1,CCR10
CX3CL1,CXCR1
CX3CL1,KL
CX3CL1,CXCR6
CX3CL1,IFNL1
CX3CL1,CCR4
CX3CL1,IL1A
CX3CL1,CCR1
CX3CL1,IL2
CX3CL1,CXCR3
CX3CL1,PECAM1
CX3CL1,AGTR2
CX3CL1,IL9
CX3CL1,ICAM1
CX3CL1,XCR1
CX3CL1,PF4
CX3CL1,AGT
CX3CL1,LTA
CX3CL1,TLR2
CX3CL1,CCL3
CX3CL1,TIMD4
CX3CL1,CCR8
CX3CL1,ACKR3
CX3CL1,P2RY13
CX3CL1,XCL1
CX3CL1,CCL1
CX3CL1,CCL4
CX3CL1,GNG2
CX3CL1,CCL24
CX3CL1,CXCR2
CX3CL1,CXCR5
CX3CL1,NGF
CX3CL1,CXCL2
CX3CL1,CXCL9
CX3CL1,IFNA2
CX3CL1,EDN1
CX3CL1,CXCL10
CX3CL1,JUN
CX3CL1,IL17A
CX3CL1,CCL22
CX3CL1,CCL16
TSR3,TRMT12
TSR3,TRMT112
TSR3,TMEM203
TSR3,TRMT5
TSR3,RRP36
TSR3,TMEM158
TSR3,RIOK1
TSR3,CTU1
TSR3,TP53RK
TSR3,LTV1
TSR3,NOC4L
TSR3,OR2B3
TSR3,B3GLCT
TSR3,TSR2
TSR3,SPON1
KRT33A,KRTAP1-3
KRT33A,KRT26
KRT33A,KRT83
KRT33A,KRT16
KRT33A,KRT25
KRT33A,KRT28
KRT33A,KRT14
KRT33A,SPRR2A
KRT33A,KRT71
KRT33A,KRT27
KRT33A,DHFR
KRT33A,SPRR2B
KRT33A,KRTAP1-1
KRT33A,MT4
KRT33A,KRT38
KRT33A,KRT32
KRT33A,KRTAP3-1
KRT33A,KRT24
KRT33A,KRT12
KRT33A,MT2A
KRT33A,KRT34
KRT33A,DHFR2
KRT33A,KRT10
KRT33A,KRTAP11-1
KRT33A,KRT85
KRT33A,KRT37
KRT33A,KRT31
KRT33A,KRT20
KRT33A,KRT39
TFAP2D,SPATA4
TFAP2D,CITED4
TFAP2D,ZCCHC3
