symbol,ID001,ID002,ID003,ID004,ID005,ID006,ID007,ID008,ID009
RFC2,9.071994388,7.842440882,8.946248823,7.79624909,7.670670528,8.495978905,8.504084441,8.364799058,8.21918246
HSPA6,7.423005952,7.333845923,7.61772434,7.364491448,7.846637053,8.902455283,7.399238222,8.497301973,7.414650695
PAX8,9.947239243,9.950463554,9.533569198,10.31577711,9.947239243,9.944529474,9.832252615,9.646257264,9.850029588
GUCA1A,4.612679817,4.707995324,4.736077887,4.545916481,4.743632772,4.645949146,4.622053765,4.664981021,4.692090027
THRA,6.698822311,6.515763741,6.345115952,6.878170849,6.426613202,6.721370369,6.656349525,6.617549595,6.949031258
PTPN21,6.976605191,7.070969064,6.764987128,6.590066179,6.917150506,6.673583044,6.787274681,6.562207739,7.028574827
CCL5,6.622566251,7.293088967,7.398385774,7.207478629,7.574472694,6.80454189,7.464722073,7.255794993,6.8587342
CYP2E1,5.19235827,5.026994632,5.003659181,5.234124257,5.156166577,5.034446342,5.307332151,5.10650006,5.300112876
EPHB3,8.092382715,8.340392008,9.933174824,9.931483256,9.013246439,8.468369377,9.353186572,8.758352198,8.741190528
ESRRA,8.573089209,8.767745154,8.683832921,8.819376796,8.455722534,8.941462659,9.130287945,8.02164753,9.166126849
CYP2A6,7.484265572,7.650319989,6.986784394,7.971404941,7.898392587,7.378210009,7.705511192,7.39500001,7.320901397
SCARB1,9.377549303,8.55457009,8.898583637,8.921572028,8.342903452,9.780799204,9.530877859,9.329445386,9.584827684
TTLL12,9.626477169,9.485540193,9.850859212,8.94757128,9.829748268,9.708276274,10.12649761,9.469778412,9.721196953
CYTOR,7.011047027,6.652369532,6.577881449,6.80444811,6.982969039,6.906378642,7.050407533,7.15606038,7.042365287
WFDC2,5.998231844,6.258922738,6.268649635,6.291552932,6.261243409,5.851888548,6.074989594,6.518588622,6.23477495
MAPK1,7.906449212,6.717612531,7.517510492,6.142047753,7.369285955,7.00014655,7.130053983,7.230379963,7.142418195
ADAM32,6.617445689,6.267420322,6.378364436,6.721037912,6.652354643,6.269830883,6.58607277,6.538806645,6.939424981
SPATA17,5.48148846,5.566651887,5.370342398,5.7000626,5.608996636,5.420623854,5.732302369,5.332743908,5.646887761
PRR22,6.622352532,6.755173698,6.726897298,6.75760892,6.576050942,7.290063314,6.99038615,7.140005732,6.985177012
PXK,6.636298229,6.700238917,7.376020303,6.401115244,7.429201365,7.04668799,6.919260656,7.290926993,6.922209739
VPS18,6.754589599,6.693270272,6.688380334,6.836408779,6.968052038,7.183592755,6.836408779,6.90743916,6.741308996
MSANTD3,8.053228069,7.899775731,8.170210151,8.308072002,8.361594613,8.485183164,8.399516357,8.712933708,8.024716143
SLC46A1,6.827646373,7.310710308,6.74667397,6.770688631,6.828479519,6.940440294,7.232355587,6.628965354,6.981597681
TIMD4,6.227377769,6.296010929,6.176317483,6.174414495,6.581127085,5.954495628,6.398869192,6.254216094,6.365526926
SLC39A5,10.4698769,10.3981582,8.872109154,10.28980506,9.014438844,9.791562624,9.983162007,9.385690703,10.12886755
ATP6V1E2,7.072257177,6.871246294,7.527506283,6.953102835,6.796369938,7.22676605,6.857403929,7.032646773,7.497840272
AFG3L1P,7.144704027,6.637835922,6.988746454,6.334977138,6.733891581,7.002909579,6.976780151,6.603669149,6.493521549
CILP2,7.045152132,6.40399155,6.397282405,7.21099765,6.808784144,7.054481643,6.899485188,6.677380163,6.970850251
PIGX,7.613027057,6.721186691,7.816511381,6.805306918,6.614038604,7.235528102,7.870156514,7.19190604,7.842072476
TMEM196,7.371042958,7.007337513,6.982714121,7.099588246,6.963128518,6.883102928,7.098716988,6.805426116,7.031022825
SLC39A13,8.751184064,8.134590702,8.688942356,8.714981546,8.810793488,8.697814009,8.530133548,8.913866055,8.556865893
BEST4,5.559239808,6.209463427,4.801826525,4.574664816,4.303716964,5.212749649,4.939027063,5.006642617,5.363329446
AK9,7.154756702,6.877233248,7.052564569,7.513803811,7.044698803,6.811178159,6.819874824,6.880261811,7.121791922
CORO6,6.269775668,6.532447062,6.502124549,6.682711999,6.019820118,6.871579695,6.613465332,6.694865679,6.732994214
TMEM106A,5.863103305,6.325000327,6.265092772,6.083860778,6.109336665,6.017628348,6.201066187,6.318799095,6.158557899
ALG10,5.748806404,5.671972169,5.604443917,5.422342999,5.369185514,5.199116297,5.60438673,5.592118382,5.913408778
TTC39C,6.885265984,6.664095727,7.123325456,7.234108991,7.352297841,6.894265215,7.025285879,6.559849741,6.916638222
NEXN,7.683327886,6.943749762,7.688138723,7.055013253,7.157924188,7.117227581,6.798963252,7.812588964,7.21091612
C15orf40,7.204389527,7.865445455,7.091288307,8.038906095,7.414201578,7.145010065,7.518842242,6.807570617,8.109210279
RAX2,7.676768319,7.747060985,7.187629875,8.180434698,7.635610934,8.215180419,7.773657727,7.683773911,7.873095903
MFAP3,7.510350122,7.10142962,7.800345177,6.642896419,7.222972532,7.106173459,7.061047459,7.036829859,7.31902601
EYA3,5.301580901,4.962767454,5.365822132,5.297184624,5.644681257,5.740595024,5.378117589,5.442818877,5.498454637
GIMAP1,6.564825823,7.075971326,7.068759867,6.684526004,7.080535817,7.086210155,6.71333304,6.796076996,6.938183437
KLK8,6.617506849,6.651247481,7.297141262,6.888751614,6.625228861,6.905390889,6.42521517,6.993658612,6.347948697
CCDC65,4.404708143,4.466058728,4.249341314,4.353892502,4.336719118,4.226997706,4.469888133,4.323742305,4.42262643
FAM122C,4.465240931,4.010386925,4.3548006,4.330674539,4.25102083,4.282241573,4.219306302,4.14081142,4.045567238
CFAP53,5.131073838,5.08690274,5.086566739,5.005183294,4.812240917,5.300803725,5.01029752,5.152351491,5.184037213
ARMCX4,5.126305353,5.192096839,4.968418819,5.229646837,5.270389125,4.915808122,4.994943164,5.146338067,4.869229102
RBBP6,6.117818,5.811442354,6.655833998,6.870437188,5.959262699,6.780359493,5.89489868,7.510036609,6.953211048
CENPBD1,6.048981013,5.881294421,5.847939502,5.93872268,5.6079227,5.565867544,5.906058013,5.498950745,6.175127632
TRIOBP,7.984042198,8.233728077,7.942435612,8.333524294,8.158675585,8.132132866,8.179911479,7.908914186,8.015826539
CATSPER1,7.94341525,7.447208306,7.64014562,7.24998879,7.601254219,7.690638296,7.538036687,7.549617582,7.597393736
HOXD4,6.893062332,6.736553789,6.479058414,6.925812637,6.983156097,6.832492941,6.818294727,7.029026503,6.774253215
GSC,5.514671046,5.743800607,5.735851904,5.652653004,5.592924772,6.082178655,5.79164978,5.801032117,5.696971412
SP7,5.803168434,5.699685131,5.485273698,5.715536708,5.846679027,5.539390362,5.57119674,5.520778454,5.689779593
PDE7A,5.382062317,5.417785815,4.982790973,5.093151018,5.377897501,5.533559818,5.455779842,5.503218399,5.090768283
CNOT7,6.723440762,6.783573488,7.919869193,6.496324896,6.67870704,6.512642801,6.304327866,7.02565889,6.493991839
CRYZL1,7.221140472,7.840963015,7.703705086,6.966021378,6.963522498,6.790780117,7.082467504,6.956533387,6.854664397
PRSS33,8.969721832,9.021329626,9.198338165,9.435523818,9.237025816,8.779791824,9.152256349,8.488347523,8.418577932
CBARP,6.671225069,7.231605396,7.329241781,7.022380268,7.318136121,6.968663352,6.793170388,7.162226524,6.746508303
MCMDC2,4.347261763,4.297870776,4.209682283,4.365842235,4.140042463,4.283884852,4.352526572,4.076825144,4.775993552
TIRAP,6.431185687,6.412652092,6.143302101,6.071883807,6.242605684,6.050782934,6.275749885,5.81190864,6.33410712
LEAP2,6.322112874,6.9461811,6.396299219,6.609081792,6.480551716,6.284443535,6.509420468,6.361125595,6.551165055
MSI2,6.798205761,6.291995357,7.427143372,6.444604181,6.310356595,7.015916473,6.962030762,7.464988626,7.21106405
SCIN,6.034284887,9.183112372,6.274100585,4.008680845,8.140700653,5.212999153,6.999653004,6.918491403,7.612285124
CTCFL,4.849524591,5.048482641,5.151063556,5.158639431,5.320918446,4.763750704,4.72870306,4.691303826,4.917594833
C4orf33,6.60076451,7.773016001,6.90343878,7.253799946,6.442271028,6.859610989,7.168039875,6.432871443,8.620805705
ZNF333,6.001250446,5.705625366,6.211859578,5.886579391,6.248035566,5.532579543,5.974883695,5.791895707,5.885209684
TVP23C,8.298111663,8.445320983,7.735285902,8.822717875,8.487467524,8.3069118,8.458136542,8.304078554,8.23660295
RDH10,6.523847969,6.375436055,6.790230837,5.964899154,6.667469584,6.561472987,6.345377288,5.92014748,6.888634155
SRSF12,3.957840822,4.048175861,3.911691235,4.097569451,4.11119019,4.228034199,4.078965096,4.038617657,4.197171848
FAM71A,8.581134516,8.60686417,7.717870373,9.587744877,8.87517796,8.752278974,8.875647841,8.525012172,8.375964799
GAPT,5.638055209,6.481666001,4.975396561,5.724912687,6.412448989,5.138623189,5.538107399,5.490666265,5.072872468
ERICH5,5.015593643,5.495161243,4.891717022,5.268891579,4.615448437,5.355349152,4.748609968,4.982521448,5.744357383
